분류,SOURCE_CODE,SOURCE_CODE_DESCRIPTION,TARGET_CONCEPT_ID,TARGET_VOCABULARY_ID,EXT_TABLE,EXT_TYPE,EXT_KCD,EXT_ICD10,TARGET_CONCEPT_CODE, count ,검토,최종,new_concept_id,new_concept_name
Hypertension,86296,Posttransplant hypertension,319826,SNOMED,Condition,dx_id,T861,T86.1,31992008, - ,1,포함,,
Hypertension,81861,Essential hypertension,320128,SNOMED,Condition,dx_id,I10,I10,59621000,"44,525",1,포함,,
Hypertension,D00009539,Essential hypertension,320128,SNOMED,Condition,dx_id,I109,I10,59621000,"124,592",1,포함,,
Hypertension,79131,Essential hypertension,320128,SNOMED,Condition,dx_id,I109,I10,59621000,"221,901",1,포함,,
Hypertension,79136,Moyamoya-associated renovascular hypertension,378774,SNOMED,Condition,dx_id,I150,I15.0,69116000,3,1,포함,317895,Renovascular hypertension
Hypertension,D00009548,Hypertensive heart and renal failure,439694,SNOMED,Condition,dx_id,I132,I13.2,194781004,68,1,포함,,
Hypertension,93900,Hypertensive heart and renal disease with both congestive heart failure and renal failure,439694,SNOMED,Condition,dx_id,I132,I13.2,194781004,71,1,포함,,
Hypertension,93901,Hypertensive heart and renal disease with renal failure,439695,SNOMED,Condition,dx_id,I131,I13.1,194780003,88,1,포함,,
Hypertension,D00009547,Hypertensive renal failure with heart disease,439695,SNOMED,Condition,dx_id,I131,I13.1,194780003,191,1,포함,,
Hypertension,93902,Hypertensive heart and renal disease with congestive heart failure,439696,SNOMED,Condition,dx_id,I130,I13.0,194779001,20,1,포함,,
Hypertension,D00009546,Hypertensive heart failure with renal disease,439696,SNOMED,Condition,dx_id,I130,I13.0,194779001,24,1,포함,,
Hypertension,D00009543,Hypertensive renal failure,439697,SNOMED,Condition,dx_id,I120,I12.0,194774006,107,1,포함,,
Hypertension,93148,Hypertensive renal disease with renal failure,439697,SNOMED,Condition,dx_id,I120,I12.0,194774006,72,1,포함,,
Hypertension,D00009542,Hypertensive heart disease,442604,SNOMED,Condition,dx_id,I119,I11.9,64715009,"66,341",1,포함,,
Hypertension,81879,Renal hypertension,443771,SNOMED,Condition,dx_id,I129,I12.9,28119000,24,1,포함,,
Hypertension,79134,Renal hypertension,443771,SNOMED,Condition,dx_id,I129,I12.9,28119000,109,1,포함,,
Hypertension,D00009552,Hypertension secondary to renal disorder,443771,SNOMED,Condition,dx_id,I151,I15.1,28119000,136,1,포함,,
Hypertension,D00009554,Renal hypertension,443771,SNOMED,Condition,dx_id,I151,I15.1,28119000,5,1,포함,,
Hypertension,D00009553,Hypertension secondary to renal parenchymal disease,443771,SNOMED,Condition,dx_id,I151,I15.1,28119000,153,1,포함,,
Hypertension,95532,Benign hypertension,4028741,SNOMED,Condition,dx_id,I100,I10,10725009,"1,001",1,포함,,
Hypertension,D00009537,Benign hypertension,4028741,SNOMED,Condition,dx_id,I100,I10,10725009,570,1,포함,,
Hypertension,79142,Drug induced hypertension,4108213,SNOMED,Condition,dx_id,I158,I15.8,194791005,25,1,포함,,
Hypertension,D00009556,Drug induced hypertension,4108213,SNOMED,Condition,dx_id,I1580,I15.8,194791005,188,1,포함,,
Hypertension,81868,Hypertension secondary to other endocrine disorder,4110948,SNOMED,Condition,dx_id,I152,I15.2,194788005,24,1,포함,,
Hypertension,D00009555,Hypertension secondary to endocrine disorders,4110948,SNOMED,Condition,dx_id,I1528,I15.2,194788005,16,1,포함,,
Hypertension,D00009538,Malignant hypertension,4289933,SNOMED,Condition,dx_id,I101,I10,70272006,"1,511",1,포함,,
Hypertension,81860,Malignant hypertension,4289933,SNOMED,Condition,dx_id,I101,I10,70272006,875,1,포함,,
